stopName,lat,lon
Dukuh Atas 3,-6.20565,106.8225
Jln. Sawo III,-6.216545,106.84427
Jln. Karang Tengah Raya,-6.309964,106.78105
Taman Puring 2,-6.242596,106.78793
JPO Blok E,-6.184738,106.81492
Kalibata City 2,-6.255816,106.85237
Cawang Ciliwung Arah Barat,-6.243292,106.86359
Pramuka BPKP,-6.192192,106.87401
Jln. SMP 175,-6.319534,106.82512
Pusdiklat Kemenag 2,-6.312209,106.75252
Juraganan,-6.220342,106.79119
SMA 40,-6.13136,106.84143
Plaza Senayan 1,-6.224748,106.798376
Puskesmas Balekambang,-6.284147,106.85164
Jatinegara RS Premier,-6.221412,106.86807
Masjid Jami Attaubah 2,-6.231559,106.87297
Imigrasi Jakarta Timur,-6.214632,106.88227
Seskoal 1,-6.238155,106.77231
Sbr. Ps. Cengkareng,-6.151851,106.72708
Jln. Tiang Bendera III,-6.134768,106.80901
MH Thamrin,-6.188149,106.82299
Sbr. Jln. Kebagusan III,-6.309188,106.827
Jln. Gabus Raya,-6.301222,106.83623
Bank Indonesia 2,-6.182667,106.82275
Jembatan Pintu Satu,-6.300382,106.88363
Pintu Air Menteng,-6.19598,106.83266
Sbr. Sunter Icon,-6.134808,106.85595
Melody Golf,-6.091746,106.7461
Cempaka Tengah,-6.170398,106.86659
Ruko Enggano,-6.10982,106.88493
SMAK Penabur Enam 1,-6.114247,106.77389
Blok M Jalur 2,-6.243369,106.80188
Flyover Radin Inten,-6.215982,106.92438
Jln. Primanota,-6.168008,106.91097
Sbr. Ps. Bukit Duri,-6.217564,106.85417
Sbr. SMPN 148,-6.218411,106.89498
Embun Pagi Islamic Elementary School,-6.248768,106.92911
Simpang Pondok Bambu Batas 2,-6.241533,106.90058
Jln. Budi Murni Raya Cilangkap,-6.33352,106.89479
Rawa Barat,-6.238947,106.81624
SPBU Shell Rempoa,-6.265358,106.76615
Green Terrace,-6.303484,106.88539
Dukuh Atas,-6.205702,106.82223
Simpang Kesemek 2,-6.113324,106.92085
Bandengan Selatan,-6.136318,106.80347
Grand Sahid,-6.210975,106.82059
Masjid Agung,-6.236483,106.79845
Rusun Pesakih,-6.161468,106.71698
Ampera 3,-6.291196,106.81706
RS Tarakan,-6.171146,106.81011
BTC,-6.258292,107.02069
Perumahan Buddha Tzu Chi 1,-6.107548,106.77192
Tosari 1,-6.199166,106.82334
